step,state_addr,n_constraints,n_dimacs_vars,n_dimacs_clauses,backbone_fraction,action,convert_ms,probe_ms
1,0x100000490,4,72,72,0.0000,keep,0.2,100.2
1,0x100000484,4,72,65,0.8889,keep,2.7,0.1
2,0x1000004a9,4,80,80,0.0000,keep,0.2,100.2
2,0x10000049d,4,80,73,0.9000,keep,3.0,0.1
2,0x100000586,4,0,0,0.8889,cached,0.0,0.0
3,0x1000004c2,5,88,88,0.0000,keep,0.2,100.1
3,0x1000004b6,5,88,81,0.9091,keep,3.3,0.1
3,0x200301000,4,0,0,0.8889,cached,0.0,0.0
3,0x100000586,4,0,0,0.9000,cached,0.0,0.0
4,0x1000004f6,6,366,1221,0.8197,keep,85.8,1.2
4,0x1000004ea,6,390,1338,0.3436,keep,109.2,4.6
4,0x200301000,4,0,0,0.9000,cached,0.0,0.0
4,0x100000586,5,0,0,0.9091,cached,0.0,0.0
5,0x100000586,6,0,0,0.3436,cached,0.0,0.0
5,0x100000516,6,369,1246,0.8753,keep,87.6,1.0
5,0x10000050d,6,248,864,0.7016,keep,59.9,1.0
5,0x200301000,5,0,0,0.9091,cached,0.0,0.0
6,0x200301000,6,0,0,0.3436,cached,0.0,0.0
6,0x100000586,6,0,0,0.7016,cached,0.0,0.0
6,0x100000536,7,372,1267,1.0000,defer,87.4,0.7
6,0x10000052d,7,249,878,0.7952,keep,62.2,0.9
7,0x200301000,6,0,0,0.7016,cached,0.0,0.0
7,0x100000586,7,0,0,0.7952,cached,0.0,0.0
8,0x200301000,7,0,0,0.7952,cached,0.0,0.0
9,0x100000536,7,0,0,1.0000,cached,0.0,0.0
10,0x10000057f,10,402,1292,1.0000,defer,88.3,0.7
10,0x100000576,10,404,1297,0.9208,keep,88.7,0.8
11,0x100000586,10,0,0,0.9208,cached,0.0,0.0
12,0x200301000,10,0,0,0.9208,cached,0.0,0.0
13,0x10000057f,10,0,0,1.0000,cached,0.0,0.0
14,0x200301000,10,0,0,1.0000,cached,0.0,0.0
14,0x200301000,10,0,0,1.0000,cached,0.0,0.0
